Prediction Window (Months),Task,AUROC,AUPRC,Sensitivity,Specificity,F1-Score,Lesion Complexity Score,Stent Type Score,AI Risk Prediction Score,Calibration Score,p-value,AUPRC (Ischemia),AUPRC (Bleeding,AUROC (Ischemia),AUROC (Bleeding),Standard Care EFS (%),AI-Driven EFS (%),Absolute Risk Reduction (ARR %),Relative Risk Reduction (RRR %),p-value
21,Ischemic Event,0.92,0.77,90.7,75.9,82.6,0.01,0.07,0.89,0.902601532,0.00113435,0.720223255,0.616907955,0.76416361,0.779839478,68.60615297,73.30187367,-4.695720705,-6.844460011,0.004522118
16,Bleeding Risk,0.84,0.84,81,85.9,83.4,0.2,0.5,0.92,0.887760691,0.003878485,0.683029098,0.658120895,0.829425903,0.771064884,73.33283039,81.09483634,-7.762005959,-10.58462617,0.001060615
10,Bleeding Risk,0.87,0.74,85.3,80.8,83,0.36,0.02,0.78,0.891674454,0.003180481,0.702460304,0.622724683,0.791767496,0.781498729,74.71506777,82.32687748,-7.611809709,-10.18778399,0.004106696
12,Bleeding Risk,0.83,0.82,87.6,72.1,79.1,0.14,0.02,0.88,0.909913092,0.004995114,0.706091569,0.672011447,0.752262409,0.79273914,68.5617122,74.09153225,-5.529820041,-8.065463745,0.003134601
6,Ischemic Event,0.8,0.76,80.5,81.6,81,0.75,0.75,0.87,0.86212949,0.004060664,0.740238334,0.634526501,0.75368583,0.757985332,65.19597561,72.0833742,-6.88739859,-10.56414683,0.002360541
32,Bleeding Risk,0.79,0.78,81.9,75.2,78.4,0.27,0.65,0.74,0.93121086,0.001915946,0.688759073,0.63223077,0.84032203,0.786046769,70.69621281,78.26390258,-7.567689769,-10.70451933,0.00333851
7,Ischemic Event,0.84,0.65,86.4,81,83.6,0.54,0.36,0.66,0.887838305,0.003795771,0.669846626,0.684842251,0.82161369,0.765899558,70.56397488,74.96696537,-4.402990488,-6.239714381,0.002885629
34,Bleeding Risk,0.82,0.85,88.5,74.9,81.1,0.09,0.32,0.93,0.913068781,0.00197267,0.671075244,0.669749904,0.79992983,0.72748344,68.25281569,72.71089198,-4.458076291,-6.531710445,0.002249114
35,Bleeding Risk,0.81,0.74,79.2,80.3,79.7,0.91,0.69,0.66,0.89102242,0.001636659,0.73497198,0.640142755,0.780488717,0.737172618,71.50850112,77.12561054,-5.61710942,-7.855163136,0.004824338
10,Bleeding Risk,0.82,0.79,79.4,85.4,82.3,0.19,0.56,0.85,0.863756973,0.003790024,0.742531999,0.618382316,0.844901876,0.774034414,74.41872103,82.23521539,-7.816494356,-10.50339787,0.002121679
33,Bleeding Risk,0.79,0.8,92.8,81.2,86.6,0.32,0.28,0.83,0.89289047,0.002469498,0.654155485,0.65673963,0.798190542,0.716416866,69.34958031,72.66442825,-3.314847935,-4.779910592,0.003119003
33,Ischemic Event,0.84,0.72,91.5,83,87,0.68,0.57,0.82,0.905513111,0.002500884,0.741171631,0.645715704,0.831245861,0.773094848,74.87503217,79.50740083,-4.632368662,-6.18680023,0.002310597
1,Ischemic Event,0.86,0.68,82.4,83.7,83,0.39,0.84,0.72,0.875381973,0.001712273,0.734224907,0.677017011,0.795577182,0.738033329,73.90448793,79.91456402,-6.010076092,-8.132220736,0.00343284
17,Ischemic Event,0.83,0.7,90.8,78.9,84.4,1,0.16,0.71,0.942584439,0.004602609,0.676266311,0.639580827,0.752725415,0.756310775,68.90996689,75.81005499,-6.900088107,-10.01319318,0.00416067
7,Bleeding Risk,0.84,0.84,92.9,80.6,86.3,0.83,0.83,0.9,0.939430589,0.002506726,0.704403894,0.656442417,0.835582519,0.776870772,65.8481973,73.51433473,-7.666137435,-11.64213714,0.004387728
34,Bleeding Risk,0.87,0.73,87.5,73.4,79.8,0.27,0.84,0.83,0.907998962,0.003629182,0.696834101,0.676148872,0.827627824,0.781753448,74.76704827,82.10730095,-7.340252676,-9.81749694,0.003138577
36,Bleeding Risk,0.9,0.85,88.6,71.8,79.3,0.63,0.95,0.76,0.868124054,0.004980449,0.688985079,0.605735019,0.783335631,0.770358974,73.86331757,77.13417089,-3.270853319,-4.428251298,0.004115279
36,Ischemic Event,0.82,0.76,80.3,83.7,82,0.05,0.48,0.87,0.883736429,0.002849638,0.685068067,0.60378593,0.802229459,0.700864362,74.2146129,80.81293849,-6.598325584,-8.890871118,0.003260487
5,Ischemic Event,0.89,0.71,92.7,73.9,82.2,0.74,0.21,0.82,0.87011317,0.003651689,0.717398829,0.641390418,0.788407755,0.704989094,66.40918902,73.70904376,-7.29985474,-10.99223593,0.001184252
0,Bleeding Risk,0.83,0.79,83.2,81.7,82.4,0.76,0.41,0.94,0.944370058,0.002214717,0.709802544,0.671278354,0.809461779,0.733471052,68.79361532,72.26146977,-3.467854442,-5.04095391,0.004967555
10,Ischemic Event,0.9,0.72,79.7,72.8,76.1,0.67,0.53,0.81,0.936758579,0.001310778,0.714483487,0.643722363,0.836298781,0.719841046,73.79688891,79.61689557,-5.82000666,-7.886520348,0.003955863
17,Bleeding Risk,0.85,0.77,91.8,82.2,86.7,0.12,0.89,0.69,0.905767676,0.00112945,0.709345763,0.626605072,0.837921026,0.797163742,74.11866575,77.9610033,-3.842337549,-5.184034965,0.001291117
13,Ischemic Event,0.9,0.77,83.5,72.6,77.7,0.61,0.47,0.66,0.93884825,0.001382256,0.73247132,0.63252319,0.75333692,0.778162013,69.00825906,75.89650806,-6.888249007,-9.981774792,0.001993755
36,Ischemic Event,0.82,0.79,88.2,73.7,80.3,0.04,0.18,0.68,0.904107629,0.002699137,0.652010375,0.679591496,0.752636829,0.788989235,66.13346199,69.83801925,-3.704557263,-5.601638189,0.003861187
31,Ischemic Event,0.84,0.77,79.8,85.5,82.6,0.5,0.27,0.73,0.900329971,0.004361331,0.666047138,0.689105842,0.788749392,0.763334224,65.06845735,72.3706869,-7.302229543,-11.22238,0.002948794
19,Ischemic Event,0.92,0.82,92.5,84.7,88.4,0.8,0.63,0.75,0.856099075,0.001262135,0.7451862,0.660752813,0.771744987,0.752877554,70.83487296,76.47931745,-5.644444496,-7.968454322,0.002941528
37,Ischemic Event,0.78,0.79,85.1,75.4,80,0.37,0.41,0.71,0.892421424,0.002142756,0.714130956,0.642535312,0.752204214,0.768026489,73.75713755,81.20215366,-7.445016109,-10.0939602,0.004655559
36,Bleeding Risk,0.86,0.76,81.5,79.2,80.3,0.21,0.4,0.76,0.923608763,0.001729477,0.657059574,0.695888677,0.838581506,0.770822679,70.65376708,76.07460467,-5.42083759,-7.672397119,0.00497125
8,Ischemic Event,0.81,0.66,92.3,71.5,80.6,0.4,0.1,0.88,0.927036472,0.00366783,0.65152233,0.687989502,0.828239109,0.752801277,70.10871184,76.3598477,-6.25113586,-8.916346764,0.004590387
15,Bleeding Risk,0.81,0.76,85,78.6,81.7,0.22,0.02,0.81,0.872058472,0.003377808,0.746364215,0.698978545,0.842889806,0.762093495,68.568632,75.13101755,-6.562385548,-9.570535909,0.004018427
0,Bleeding Risk,0.89,0.81,86.1,78,81.9,0.16,0.25,0.67,0.94822248,0.004406408,0.673957466,0.602423005,0.77057859,0.701675593,70.02542875,76.51432345,-6.488894704,-9.266483362,0.003818009
8,Ischemic Event,0.83,0.73,92.3,72.4,81.1,0.9,0.88,0.84,0.944638855,0.004700871,0.677355258,0.636036855,0.781549183,0.710493356,74.37651671,81.08467081,-6.708154096,-9.019182925,0.00485645
34,Bleeding Risk,0.84,0.65,90.9,74.3,81.8,0.65,0.35,0.82,0.862213053,0.004039225,0.719232396,0.600114834,0.800548346,0.750673793,71.21631504,76.20438405,-4.988069006,-7.004109947,0.004793797
6,Bleeding Risk,0.83,0.84,79,80.7,79.8,0.19,0.85,0.68,0.855508188,0.00451591,0.691153916,0.686131681,0.829436076,0.782730255,68.46575549,74.01138493,-5.545629437,-8.099858677,0.004514322
16,Bleeding Risk,0.88,0.69,81.6,85.5,83.5,0.92,0.29,0.68,0.912915535,0.001489342,0.653070577,0.634920913,0.779742134,0.707927701,68.49283214,73.66507503,-5.172242889,-7.551509737,0.00182253
36,Bleeding Risk,0.86,0.77,85,77.1,80.9,0.71,0.36,0.93,0.882483413,0.002440195,0.68179089,0.694957441,0.765021823,0.759555788,65.1117525,70.42744213,-5.315689628,-8.163948018,0.001060421
1,Ischemic Event,0.82,0.76,83.5,81,82.2,0.94,0.95,0.84,0.930422921,0.003520943,0.695051458,0.659345118,0.800423297,0.727722543,73.51638907,80.48348458,-6.967095509,-9.476928338,0.002646727
37,Ischemic Event,0.91,0.7,91.6,71.9,80.6,0.45,0.26,0.77,0.89324136,0.004139164,0.672393112,0.640315077,0.79303437,0.7348021,65.48708925,70.60972908,-5.122639834,-7.822366046,0.001940735
1,Bleeding Risk,0.86,0.8,92,83.3,87.4,0.9,0.28,0.76,0.862219547,0.004086564,0.694426509,0.60761726,0.78897427,0.772749929,72.5378752,77.738106,-5.200230798,-7.168986937,0.004756986
3,Bleeding Risk,0.83,0.84,86.7,71.9,78.6,0.97,0.67,0.85,0.87001019,0.003861245,0.720235587,0.649290422,0.81213086,0.75989669,69.43008648,72.61051991,-3.180433432,-4.580771238,0.002995699
24,Ischemic Event,0.92,0.82,79.6,73.1,76.2,0.19,0.35,0.8,0.928955096,0.002136972,0.728914989,0.670722042,0.754881521,0.738117842,67.1644239,73.47718442,-6.31276052,-9.398964739,0.003713543
7,Ischemic Event,0.85,0.72,82.8,84.7,83.7,0.44,0.69,0.94,0.916700907,0.001183263,0.675064318,0.645124218,0.772463346,0.710047146,74.83956267,80.22645908,-5.386896411,-7.197926094,0.003334346
19,Bleeding Risk,0.87,0.77,89.9,78.3,83.7,0.66,0.46,0.75,0.899269585,0.003952631,0.707677856,0.606295571,0.831860367,0.757454007,74.07617668,80.04116087,-5.964984195,-8.052500092,0.004323091
7,Bleeding Risk,0.86,0.84,83.1,74.8,78.7,0.75,0.68,0.73,0.905110937,0.003708438,0.705035571,0.608493217,0.797378014,0.719624353,71.65299775,77.94637662,-6.29337887,-8.783134087,0.001710985
32,Ischemic Event,0.9,0.67,92.6,84.8,88.5,0.61,0.48,0.94,0.91320717,0.001838117,0.694368027,0.669881382,0.829185761,0.783690989,69.13830598,76.19429338,-7.0559874,-10.20561221,0.002261985
6,Ischemic Event,0.84,0.73,85.5,75.6,80.2,0.59,0.04,0.89,0.858152157,0.002655063,0.720309888,0.658282365,0.834399662,0.759166095,67.62216675,72.19424135,-4.5720746,-6.761206893,0.002448261
6,Ischemic Event,0.91,0.66,86,81,83.4,0.13,0.68,0.89,0.915865722,0.003318775,0.665684724,0.691751494,0.838000758,0.704922371,73.30047924,80.66641735,-7.365938102,-10.04896309,0.004600982
32,Bleeding Risk,0.78,0.73,89,79.1,83.8,0.68,0.55,0.65,0.882932806,0.004880342,0.678374353,0.631346731,0.837639528,0.72069734,71.33556679,78.97089581,-7.635329026,-10.70339715,0.001971228
32,Bleeding Risk,0.79,0.75,80,79.5,79.7,0.47,0.26,0.67,0.859449523,0.002977332,0.730073875,0.608062006,0.843243414,0.79793179,66.3884601,69.79378905,-3.405328944,-5.129398903,0.003654706
3,Bleeding Risk,0.8,0.71,89.2,83.7,86.4,0.94,0.87,0.83,0.933494177,0.002775451,0.744121276,0.652786758,0.782528354,0.723325597,68.8443209,73.51714288,-4.672821983,-6.787519903,0.00355188
15,Bleeding Risk,0.84,0.81,84.1,79.5,81.7,0.9,0.84,0.83,0.938359118,0.00491524,0.680954681,0.604147016,0.8192979,0.707163204,71.9738594,77.54375306,-5.569893667,-7.738773095,0.003297309
23,Ischemic Event,0.82,0.84,81.6,76.3,78.9,0.48,0.46,0.75,0.908550148,0.004521744,0.703162564,0.675483881,0.765444948,0.784400794,73.1612395,78.03941439,-4.878174892,-6.667704,0.003798508
0,Ischemic Event,0.86,0.68,82.2,78.5,80.3,0.33,0.24,0.76,0.921801529,0.002447647,0.683389411,0.669360439,0.793868418,0.779354185,69.03625848,73.12187932,-4.085620841,-5.918079762,0.002193076
0,Bleeding Risk,0.91,0.81,91,85.1,88,0.34,0.08,0.9,0.860350912,0.00424327,0.730340157,0.666028273,0.840679043,0.777344114,67.53146819,72.39282015,-4.861351962,-7.19864693,0.001660891
0,Bleeding Risk,0.8,0.68,87.1,80,83.4,0.46,0.9,0.94,0.941087846,0.003982342,0.721358573,0.664836167,0.755360808,0.794326803,65.23943771,71.90398787,-6.664550162,-10.21552361,0.003917404
21,Bleeding Risk,0.88,0.72,89.1,82.5,85.7,0.81,0.4,0.81,0.873693237,0.002167463,0.70964904,0.630202904,0.760747943,0.711690251,74.80206306,81.67581007,-6.873747009,-9.1892479,0.001332084
9,Bleeding Risk,0.8,0.71,92,78.5,84.7,0.14,0.54,0.69,0.855655196,0.001171713,0.696758196,0.669047824,0.842270152,0.78952354,70.07573521,74.39847249,-4.322737278,-6.168664896,0.004978731
36,Ischemic Event,0.9,0.73,82.8,83.4,83.1,0.47,0.63,0.9,0.949656291,0.003291556,0.72937754,0.646405078,0.750392981,0.786076746,69.0141963,75.61241035,-6.59821405,-9.560662013,0.002033542
21,Ischemic Event,0.82,0.7,82.6,81.6,82.1,0.63,0.09,0.8,0.916544704,0.003639418,0.705463775,0.633332566,0.845730823,0.736675772,69.43662591,74.75189581,-5.315269903,-7.654850496,0.003384225
11,Ischemic Event,0.81,0.74,80.4,79,79.7,0.11,0.94,0.81,0.929429481,0.002850551,0.680777398,0.642985424,0.783439399,0.722533182,66.68482957,71.60804482,-4.923215247,-7.38281147,0.001648528
37,Ischemic Event,0.78,0.79,88.1,72.3,79.4,0.16,0.84,0.67,0.896766965,0.002502116,0.699499814,0.620549986,0.786414566,0.775563769,68.44750305,73.28031884,-4.832815785,-7.060616632,0.004021197
15,Ischemic Event,0.91,0.72,85.8,81.3,83.5,0.59,0.15,0.72,0.939713009,0.002358663,0.725386423,0.673468581,0.75790669,0.741064957,70.15933063,76.81105219,-6.651721559,-9.480879448,0.004383065
19,Bleeding Risk,0.84,0.83,91.8,78.3,84.5,0.72,0.36,0.8,0.936862593,0.003091114,0.650683507,0.662908947,0.766763,0.763359045,73.38103491,78.00787537,-4.62684046,-6.305226501,0.004543666
15,Ischemic Event,0.85,0.82,84,84.1,84,0.41,0.75,0.87,0.922109245,0.004983412,0.651840262,0.613077717,0.781590906,0.784401536,68.59051542,75.45065218,-6.860136761,-10.00158217,0.002583416
35,Bleeding Risk,0.91,0.73,82.5,72.7,77.3,0.65,0.92,0.9,0.909851418,0.00243753,0.713687922,0.689064857,0.753980173,0.705926228,71.31630247,76.0132129,-4.696910424,-6.586026281,0.003031462
34,Ischemic Event,0.87,0.68,90.4,72.1,80.2,0.95,0.01,0.79,0.897312699,0.003622161,0.72017969,0.668213359,0.807493503,0.704207154,71.93180098,76.17251207,-4.240711093,-5.895460749,0.001752452
33,Ischemic Event,0.91,0.78,83.7,85.7,84.7,0.87,0.94,0.88,0.882778652,0.004109704,0.654116716,0.607578627,0.753200217,0.729347267,69.05566128,75.89470607,-6.839044791,-9.903669972,0.003778496
7,Bleeding Risk,0.88,0.8,84.4,73.1,78.3,0.64,0.04,0.91,0.923815669,0.003419191,0.677423825,0.624305816,0.830632798,0.759898007,73.24986022,80.07011915,-6.820258929,-9.310951459,0.003305323
31,Bleeding Risk,0.91,0.74,88.3,76.7,82.1,0.83,0.32,0.67,0.941753234,0.001546541,0.73345614,0.606637549,0.821332128,0.770405959,68.96565623,72.44216528,-3.476509048,-5.04092796,0.002509345
33,Ischemic Event,0.82,0.8,83.1,79,81,0.85,0.52,0.68,0.931589194,0.002174137,0.656249442,0.661566792,0.811273278,0.70084085,66.90020177,74.39880218,-7.498600407,-11.20863646,0.004125195
10,Ischemic Event,0.87,0.7,87.9,71.7,79,0.27,0.15,0.86,0.920621014,0.001245151,0.736943426,0.614914056,0.781033913,0.730952255,73.45683171,76.83003465,-3.373202939,-4.592088795,0.003633243
35,Bleeding Risk,0.81,0.8,90.2,79.1,84.3,0.59,0.36,0.94,0.884599122,0.004838564,0.719570341,0.652279566,0.847998075,0.78161254,70.37635435,75.50340959,-5.12705524,-7.28519584,0.002263557
12,Bleeding Risk,0.9,0.67,79.1,78.6,78.8,0.13,0.83,0.77,0.926039036,0.001185713,0.712937941,0.695146654,0.812237557,0.787689925,73.59704644,77.14547147,-3.548425028,-4.82142314,0.003272555
11,Ischemic Event,0.83,0.74,88,75.1,81,0.7,0.06,0.7,0.887846924,0.002422529,0.670029666,0.672684984,0.758097307,0.758018619,67.16536984,73.6551889,-6.489819065,-9.662448194,0.001684244
2,Ischemic Event,0.91,0.84,81.6,81.2,81.4,0.35,0.48,0.85,0.870959589,0.002665939,0.719556288,0.655437529,0.776143672,0.72091776,66.67477489,70.1027191,-3.427944206,-5.141291008,0.001213648
32,Bleeding Risk,0.84,0.74,92.4,78.1,84.7,0.4,0.87,0.75,0.904481012,0.003097935,0.718318111,0.660597489,0.840497199,0.794740393,73.79012934,80.83097247,-7.040843129,-9.541714037,0.001369014
4,Ischemic Event,0.8,0.67,89.6,80.1,84.6,0.87,0.72,0.73,0.892812439,0.003770112,0.717158102,0.685724774,0.792430486,0.795322272,73.42521305,80.27122252,-6.846009464,-9.323785631,0.002918646
24,Bleeding Risk,0.86,0.83,89.2,85.4,87.3,0.57,0.61,0.69,0.873924332,0.004980886,0.725072392,0.650124949,0.780387348,0.716410322,67.31238068,70.81390614,-3.501525463,-5.201904059,0.004745557
15,Ischemic Event,0.88,0.74,83.5,75.7,79.4,0.51,0.01,0.94,0.895766671,0.003384247,0.716963008,0.635475002,0.820334927,0.739576985,66.4406579,71.21193463,-4.771276737,-7.181260524,0.002147626
20,Ischemic Event,0.89,0.66,79.4,71.7,75.4,0.38,0.9,0.7,0.924334198,0.001437894,0.716956606,0.616674522,0.821680657,0.769486027,66.55159908,73.68388412,-7.132285035,-10.71692511,0.003957742
9,Ischemic Event,0.91,0.74,91.7,82.8,87,0.39,0.16,0.68,0.944988909,0.00359663,0.678720729,0.653514508,0.76350647,0.785108546,66.02167552,72.3733762,-6.351700675,-9.620629324,0.002756789
19,Bleeding Risk,0.81,0.83,85.4,71.7,78,0.05,0.59,0.9,0.908198115,0.004057428,0.669385594,0.618379585,0.758777515,0.717104528,66.69452422,69.95732389,-3.262799669,-4.892155251,0.003078786
19,Ischemic Event,0.78,0.66,91.2,73.6,81.5,0.05,0.62,0.93,0.859103509,0.002048074,0.740570296,0.604225575,0.828408391,0.708064324,70.70206181,75.65658786,-4.954526045,-7.007611826,0.004406055
10,Bleeding Risk,0.86,0.76,86.8,78.9,82.7,0.9,0.72,0.89,0.876541713,0.001484704,0.736674886,0.615585433,0.755901181,0.732232831,70.3299829,74.42218728,-4.092204379,-5.818577241,0.004176647
0,Bleeding Risk,0.86,0.7,83.7,85.8,84.7,0.76,0.18,0.76,0.886201375,0.004743848,0.701420097,0.623847857,0.757898146,0.758261977,69.54857581,75.26900981,-5.720434005,-8.225091511,0.004521054
12,Bleeding Risk,0.87,0.83,91.4,73.3,81.4,0.04,0.8,0.7,0.915943566,0.002450109,0.694786322,0.687783847,0.792203078,0.733032268,66.42870568,70.75144434,-4.322738653,-6.507335359,0.001162997
20,Bleeding Risk,0.85,0.76,79.6,71.6,75.4,0.96,0.92,0.9,0.91877717,0.001592746,0.698885854,0.696131184,0.848746153,0.766600427,70.80003873,73.9053507,-3.105311968,-4.386031454,0.004741813
36,Ischemic Event,0.8,0.77,79.6,72.6,75.9,0.77,0.69,0.67,0.908974675,0.004603352,0.720982015,0.675562732,0.756045144,0.728812372,74.27192179,80.52664501,-6.254723228,-8.421383314,0.00326253
10,Ischemic Event,0.83,0.81,92.7,73.4,81.9,0.68,0.87,0.86,0.899055846,0.00266239,0.653584729,0.630144874,0.793001975,0.700553279,67.43719234,70.74435643,-3.307164097,-4.90406552,0.003705506
4,Bleeding Risk,0.89,0.67,83.9,75.9,79.7,0.25,0.23,0.92,0.884145571,0.004621985,0.726239297,0.627906171,0.813292907,0.702294786,65.01916356,69.0844161,-4.065252544,-6.252391328,0.002203584
12,Bleeding Risk,0.86,0.79,88,81,84.4,0.27,0.93,0.8,0.878735864,0.003580345,0.652903699,0.685275316,0.823590009,0.724385247,73.51334771,78.47542038,-4.962072672,-6.749893491,0.004753621
31,Ischemic Event,0.91,0.74,91.3,76.2,83.1,0.84,0.86,0.76,0.894653947,0.004109798,0.691822701,0.681411289,0.83013896,0.732938202,67.09076632,70.43555572,-3.344789404,-4.985469071,0.003777489
10,Bleeding Risk,0.86,0.66,92.5,83,87.5,0.82,0.07,0.85,0.903859453,0.002184145,0.702886314,0.65878257,0.821074911,0.741205837,73.39717329,77.57291537,-4.175742081,-5.689241007,0.002224438
14,Ischemic Event,0.91,0.69,88.8,84.6,86.6,0.74,0.72,0.8,0.940014674,0.00333983,0.673364122,0.624510734,0.838312434,0.794907698,73.54641498,77.88651891,-4.340103932,-5.901176737,0.002392988
12,Bleeding Risk,0.88,0.81,81.2,85.4,83.2,0.5,0.12,0.87,0.94221988,0.001379459,0.662578271,0.678250443,0.772914108,0.727905985,72.17636676,76.06568913,-3.889322369,-5.38863695,0.003007948
34,Bleeding Risk,0.91,0.81,83.4,85,84.2,0.94,0.82,0.86,0.884815816,0.004026709,0.653205236,0.671704106,0.810835632,0.777295478,73.38011423,79.87440105,-6.494286815,-8.850199925,0.002358814
6,Ischemic Event,0.81,0.7,87.6,78.3,82.7,0.6,0.95,0.78,0.945175055,0.002431365,0.737195144,0.64804005,0.840499223,0.723035474,65.20146032,71.62184375,-6.420383421,-9.846993287,0.004597361
19,Bleeding Risk,0.89,0.69,86.1,81,83.5,0.18,0.46,0.84,0.866304549,0.002721427,0.689048161,0.659973549,0.770886698,0.739918262,73.45904006,80.10192098,-6.642880915,-9.042972668,0.001760781
37,Bleeding Risk,0.89,0.67,86.8,72.4,78.9,0.59,0.51,0.8,0.917837616,0.001519455,0.741550006,0.668243733,0.818470075,0.74572386,65.71601606,68.851564,-3.135547944,-4.771360365,0.003825243
8,Bleeding Risk,0.81,0.75,79.3,83.7,81.4,0.83,0.75,0.82,0.880921008,0.004631271,0.66184859,0.601093076,0.753912197,0.749683719,70.25376309,76.91394999,-6.660186893,-9.48018526,0.003446492
24,Ischemic Event,0.89,0.73,79.7,79.4,79.5,0.38,0.46,0.68,0.902741767,0.004255342,0.681194974,0.650411439,0.784543757,0.710233014,72.70613985,79.78295628,-7.076816428,-9.733450906,0.002665395
6,Ischemic Event,0.85,0.81,90.3,72.2,80.2,0.74,0.49,0.69,0.87056887,0.002552123,0.650429061,0.61509528,0.83093194,0.722789982,70.22478102,76.12317384,-5.898392818,-8.399303966,0.001196421
0,Bleeding Risk,0.87,0.76,91.1,85.5,88.2,0.47,0.88,0.86,0.908422288,0.002324067,0.657149449,0.620165204,0.763739687,0.755598846,71.48325229,77.95950277,-6.476250481,-9.059815094,0.002859221
32,Bleeding Risk,0.91,0.74,81.6,83.2,82.4,0.06,0.76,0.94,0.865771523,0.003432795,0.724348816,0.633084199,0.788224664,0.754934162,66.04293682,71.25022127,-5.207284452,-7.884695477,0.002494656
6,Bleeding Risk,0.82,0.84,80.7,85.3,82.9,0.62,0.04,0.74,0.914484879,0.004665878,0.68657328,0.697565167,0.776289332,0.743087925,66.61162717,72.84594983,-6.23432266,-9.359210885,0.001685012
20,Bleeding Risk,0.9,0.75,88.6,81.7,85,0.03,0.14,0.65,0.899217474,0.003460208,0.705167059,0.693683696,0.795366746,0.792863126,66.65979173,74.25668145,-7.596889723,-11.39650984,0.002137166
2,Bleeding Risk,0.82,0.69,87.9,75,80.9,0.61,0.18,0.86,0.868873995,0.004443884,0.738661357,0.651110037,0.81038123,0.745464911,65.20662747,70.78892105,-5.582293575,-8.560929757,0.003266833
19,Ischemic Event,0.82,0.73,87.4,75.3,80.9,0.31,0.71,0.73,0.928880825,0.003563934,0.739581205,0.636418999,0.820491744,0.786344922,67.06603763,70.76954788,-3.703510249,-5.522184372,0.00416866
16,Ischemic Event,0.86,0.77,80,85.7,82.8,0.5,0.7,0.72,0.9211363,0.00296143,0.714829308,0.667642776,0.762466115,0.706839629,69.775258,75.04412549,-5.268867491,-7.551197434,0.004633656
18,Bleeding Risk,0.83,0.83,81.8,85,83.4,0.86,0.96,0.72,0.86525894,0.002455882,0.7025786,0.683364615,0.80099177,0.757445359,74.73235683,80.91551238,-6.183155554,-8.273732847,0.001711389
36,Bleeding Risk,0.78,0.81,86.6,81.2,83.8,0.83,0.15,0.67,0.922907405,0.002883253,0.701006886,0.678546023,0.763794687,0.789304977,65.4715762,72.54593329,-7.074357083,-10.80523411,0.00455162
2,Ischemic Event,0.79,0.81,80.1,74.5,77.2,0.76,0.22,0.79,0.903519974,0.002868234,0.726597647,0.675041254,0.84838698,0.712741755,65.40817914,72.98884753,-7.580668387,-11.58978661,0.002397981
22,Ischemic Event,0.9,0.74,91.9,85.2,88.4,0.88,0.18,0.84,0.869138672,0.004679522,0.668708894,0.693072083,0.779397458,0.701503468,65.72389965,69.71502195,-3.991122302,-6.072558572,0.004899148
10,Bleeding Risk,0.79,0.77,88.5,81.1,84.6,0.14,0.33,0.69,0.881626111,0.001758011,0.686502121,0.627691729,0.787875991,0.730905617,67.61930043,74.25399856,-6.634698134,-9.811840839,0.004427008
20,Bleeding Risk,0.81,0.76,87.2,80,83.4,0.16,0.68,0.78,0.862073128,0.004004018,0.745342074,0.64456874,0.781806355,0.725582804,74.36954266,77.56363007,-3.19408741,-4.29488645,0.002068934
32,Bleeding Risk,0.9,0.74,82.6,72.1,77,0.35,0.03,0.71,0.943762454,0.003185696,0.702248043,0.651268485,0.783180918,0.712462634,65.05561949,69.57805149,-4.522431996,-6.951639276,0.002626713
10,Ischemic Event,0.79,0.66,83.1,73.2,77.8,0.04,0.5,0.68,0.911937338,0.004618868,0.748703715,0.690715258,0.805464983,0.774156665,73.96173327,77.08890395,-3.127170679,-4.228092746,0.001760797
21,Bleeding Risk,0.8,0.67,83.7,71.8,77.3,0.21,0.74,0.92,0.872901567,0.001811631,0.735090389,0.698925711,0.826944242,0.7721624,74.65942177,78.02357584,-3.364154072,-4.506000706,0.001936232
4,Bleeding Risk,0.9,0.75,92.7,85.7,89.1,0.02,0.11,0.89,0.91037618,0.001281574,0.669548657,0.684074601,0.846077559,0.74622446,65.45886006,72.39547458,-6.936614527,-10.59690701,0.002054373
14,Bleeding Risk,0.82,0.73,87.5,72.8,79.5,0.91,0.12,0.79,0.933643353,0.002174671,0.658208077,0.640766325,0.82985191,0.792480036,71.89787697,76.393751,-4.495874027,-6.25313878,0.003423849
19,Bleeding Risk,0.92,0.71,79.1,77.1,78.1,0.18,0.19,0.91,0.909694433,0.004493758,0.736580289,0.61005117,0.753586066,0.753188428,67.80466194,71.61483551,-3.810173575,-5.619338651,0.003808164
7,Ischemic Event,0.8,0.72,90.3,77.6,83.5,0.47,0.57,0.85,0.879245766,0.004572016,0.707107586,0.629328436,0.839648506,0.763587828,68.45922398,75.50125829,-7.04203431,-10.28646529,0.003635486
11,Bleeding Risk,0.86,0.85,87.8,73.8,80.2,0.71,0.58,0.94,0.917903805,0.002100212,0.650350315,0.664872327,0.769806838,0.791542163,71.58461169,75.53015292,-3.94554123,-5.511717025,0.001564183
13,Bleeding Risk,0.9,0.83,84.2,84.9,84.5,0.74,0.81,0.94,0.901777218,0.00402045,0.668451452,0.647420071,0.772302805,0.76459489,72.36175314,80.07321143,-7.711458288,-10.65681517,0.001904556
19,Bleeding Risk,0.79,0.78,87.6,81.7,84.5,0.04,0.46,0.69,0.886206031,0.004622325,0.726482075,0.649637155,0.819590623,0.779377549,68.68797972,74.72948364,-6.041503922,-8.795576675,0.004610299
